날짜,총 예매인원
2011-01-26,50241
2011-01-27,102018
2011-01-28,108260
2011-01-29,242235
2011-01-30,213414
2011-01-31,88332
2011-02-01,124747
2011-02-02,187693
2011-02-03,214399
2011-02-04,277479
2011-02-05,253352
2011-02-06,185257
2011-02-07,58985
2011-02-08,55006
2011-02-09,51807
2011-02-10,72719
2011-02-11,86314
2011-02-12,208408
2011-02-13,183084
2011-02-14,80404
2011-02-15,59459
2011-02-16,58861
2011-02-17,117999
2011-02-18,123653
2011-02-19,237978
2011-02-20,205912
2011-02-21,84216
2011-02-22,84919
2011-02-23,80540
2011-02-24,96778
2011-02-25,103305
2011-02-26,211941
2011-02-27,193404
2011-02-28,119326
2011-03-01,231460
2011-03-02,54817
2011-03-03,62556
2011-03-04,73092
2011-03-05,183160
2011-03-06,159485
2011-03-07,45688
2011-03-08,45903
2011-03-09,42939
2011-03-10,59601
2011-03-11,75426
2011-03-12,185725
2011-03-13,149780
2011-03-14,55234
2011-03-15,41365
2011-03-16,41823
2011-03-17,58029
2011-03-18,71714
2011-03-19,172651
2011-03-20,153281
2011-03-21,46607
2011-03-22,45883
2011-03-23,45468
2011-03-24,44505
2011-03-25,61967
2011-03-26,145657
2011-03-27,120665
2011-03-28,38397
2011-03-29,37864
2011-03-30,42977
2011-03-31,50515
2011-04-01,63255
2011-04-02,152327
2011-04-03,114240
2011-04-04,38672
2011-04-05,37295
2011-04-06,39109
2011-04-07,45945
2011-04-08,59855
2011-04-09,135051
2011-04-10,111034
2011-04-11,35499
2011-04-12,37640
2011-04-13,35971
2011-04-14,48533
2011-04-15,59343
2011-04-16,133824
2011-04-17,106824
2011-04-18,42142
2011-04-19,35487
2011-04-20,42946
2011-04-21,47811
2011-04-22,75839
2011-04-23,155230
2011-04-24,132621
2011-04-25,46355
2011-04-26,54752
2011-04-27,52035
2011-04-28,73289
2011-04-29,90604
2011-04-30,201858
2011-05-01,169472
2011-05-02,54521
2011-05-03,52935
2011-05-04,90943
2011-05-05,276723
2011-05-06,101050
2011-05-07,178188
2011-05-08,137503
2011-05-09,138116
2011-05-10,239293
2011-05-11,51926
2011-05-12,55006
2011-05-13,75229
2011-05-14,169027
2011-05-15,142023
2011-05-16,52350
2011-05-17,52749
2011-05-18,49242
2011-05-19,98313
2011-05-20,120316
2011-05-21,259667
2011-05-22,219760
2011-05-23,70397
2011-05-24,63401
2011-05-25,66685
2011-05-26,96757
2011-05-27,126051
2011-05-28,329303
2011-05-29,292905
2011-05-30,81423
2011-05-31,82670
2011-06-01,83129
2011-06-02,95215
2011-06-03,115228
2011-06-04,276958
2011-06-05,297973
2011-06-06,312256
2011-06-07,82018
2011-06-08,61128
2011-06-09,71117
2011-06-10,94772
2011-06-11,240685
2011-06-12,199446
2011-06-13,63420
2011-06-14,61600
2011-06-15,61517
2011-06-16,74395
2011-06-17,90640
2011-06-18,216562
2011-06-19,176733
2011-06-20,65145
2011-06-21,68322
2011-06-22,68492
2011-06-23,73039
2011-06-24,93514
2011-06-25,193637
2011-06-26,161156
2011-06-27,61537
2011-06-28,63965
2011-06-29,176309
2011-06-30,163803
2011-07-01,174754
2011-07-02,308920
